blocks,delta_cp_deg,dm21,dm31,dm32,eps,g_diag,g_off,jarlskog,label,m_light,ok_3d,phase12_pi,phase23_pi,score,theta12,theta13,theta23,theta_e_deg,ue3,um3,ut3
"[[0], [1], [2]]",-166.34413526456188,-1.423548809482283e-13,-1.3944519583549557e-13,2.909685112732723e-15,0.0,0.55,1.0,-2.1463176815501643e-05,split,"[3.796898707315337e-07, 4.2538417787929785e-08, 6.869644896669102e-08]",False,0.088,0.016,2825.1267708048977,5.4692341165829905,0.782844062838351,85.96768880831864,-5.729577951308233,0.013662781314981281,0.9974314443084935,0.07031246199224943
"[[0], [1], [2]]",-165.67174983263246,-1.1834444273659987e-13,-1.1554602055453896e-13,2.7984221820609183e-15,0.0,0.575,1.0,-2.0725600665082068e-05,split,"[3.4713591042024953e-07, 4.646393834680427e-08, 7.04082363701616e-08]",False,0.088,0.016,2845.9801204034384,5.376648912577273,0.7657571791514012,86.1390295313146,-5.729577951308233,0.013364586168720652,0.9976412715830713,0.06732964481304815
"[[0], [1], [2]]",-165.9120727131641,-9.740516784883518e-14,-9.473730911130152e-14,2.6678587375336616e-15,0.0,0.6,1.0,-1.6767243516448346e-05,split,"[3.161354925608984e-07, 5.0363496779777775e-08, 7.21411154988634e-08]",False,0.088,0.016,2892.5863654882605,5.26748124048451,0.725715770344745,86.58270843701003,-5.729577951308233,0.012665790955910868,0.9981418123975021,0.059602852979459504
"[[0], [1], [2]]",-165.2656904065184,-7.930760779609784e-14,-7.678765491863444e-14,2.5199528774633993e-15,0.0,0.625,1.0,-1.4195481077965227e-05,split,"[2.8678468023583516e-07, 5.42018913126875e-08, 7.387691046149526e-08]",False,0.088,0.016,2938.2354752838896,5.133255408673042,0.6849368498324576,86.99210970486881,-5.729577951308233,0.011954118470359999,0.998550963428135,0.05246972925735637
"[[0], [1], [2]]",-165.9932870963951,-6.37999193261008e-14,-6.14422542595157e-14,2.357665066585109e-15,0.0,0.65,1.0,-1.0718349090817701e-05,split,"[2.591520061620552e-07, 5.796415247130843e-08, 7.561420526794023e-08]",False,0.088,0.016,2984.763189334775,4.9654739032912785,0.6462079975338192,87.3870743467793,-5.729577951308233,0.011278218101150981,0.9988967756988048,0.04558545047484994
"[[0], [1], [2]]",45.17443351511236,-5.062163961739844e-14,-4.843821305134792e-14,2.1834265660505157e-15,0.0,0.675,1.0,1.1495178378070496e-05,split,"[2.3328016439311447e-07, 6.162787909607202e-08, 7.733965378724285e-08]",False,0.088,0.016,2980.2949148177504,6.696738492161868,0.226666311935042,87.97155381588685,5.729577951308233,0.00395606312752788,0.9993655566168345,0.03539539253145911
"[[0], [1], [2]]",34.357886364308825,-3.951113820383076e-14,-3.7510774739843703e-14,2.000363463987057e-15,0.0,0.7,1.0,8.147798624165765e-06,split,"[2.091881704241472e-07, 6.518092084016071e-08, 7.905008479159497e-08]",False,0.088,0.016,3007.396136072324,6.971324576576187,0.2613325018972456,88.4939190872948,5.729577951308233,0.0045610967858914055,0.9996441428723435,0.02628277034727628
"[[0], [1], [2]]",30.019682338889925,-3.0214694442140267e-14,-2.8403585687888747e-14,1.8111087542515183e-15,0.0,0.725,1.0,4.208335681777547e-06,split,"[1.868739920324583e-07, 6.860899690278983e-08, 8.073600937783922e-08]",False,0.088,0.016,3057.0970135639927,7.334466608245576,0.3501497884256593,89.37707529216914,5.729577951308233,0.006111228643089615,0.9999222268142351,0.010871669942269058
"[[0], [1], [2]]",-175.5732329038861,-2.249183304368145e-14,-2.0872889949101275e-14,1.6189430945801734e-15,0.0,0.75,1.0,-6.570079946254194e-07,split,"[1.663177836983733e-07, 7.190112746443853e-08, 8.239366010341821e-08]",False,0.088,0.016,3035.519148109005,7.837727427347364,0.4748385090901803,89.56433409701341,5.729577951308233,0.008287400531449522,0.999936751117582,0.007603470052991181
"[[0], [1], [2]]",-173.86755218634616,-1.6121118506063316e-14,-1.469343462579147e-14,1.4276838802718459e-15,0.0,0.775,1.0,-6.020624831838554e-06,split,"[1.4748657811084753e-07, 7.504113683030003e-08, 8.401699885770532e-08]",False,0.088,0.016,2855.1393211105574,8.579906264997916,0.6834107262502273,88.16327088765132,5.729577951308233,0.011927484488034696,0.9994151208975978,0.03204920022446922
"[[0, 1], [2]]",-176.2857295464821,-1.0904511834338675e-14,-9.661288225752572e-15,1.2432236085861024e-15,0.0,0.8,1.0,-1.2770431025462104e-05,1⊕2,"[1.3034307870368473e-07, 7.800516862116431e-08, 8.560391311267482e-08]",False,0.088,0.016,2605.408281294656,9.782311891186811,1.0465576491726143,86.29511038374693,5.729577951308233,0.018264861095551227,0.9977436395966607,0.06460669078020936
"[[0, 1], [2]]",-178.21816104794112,-6.677439698969945e-15,-5.599866507237581e-15,1.0775731917323639e-15,0.0,0.825,1.0,-2.049796435298471e-05,1⊕2,"[1.1487181491784625e-07, 8.073471473628912e-08, 8.715312590654648e-08]",False,0.088,0.016,2251.5121044505595,12.06365243833518,1.759301162446671,83.92944147636565,5.729577951308233,0.030700773000721864,0.9939236801951676,0.10570326619576148
"[[0, 1, 2]]",-179.42394776879937,-3.3550501863389635e-15,-2.38542713423839e-15,9.696230521005737e-16,0.0,0.85,1.0,-2.7453458747904918e-05,3D,"[1.0121994416067914e-07, 8.300859539560973e-08, 8.865692280726088e-08]",True,0.088,0.016,1720.6121119838472,17.93561663975044,3.700874587284541,81.57125073625453,5.729577951308233,0.06454754085625639,0.9871360657957758,0.14627372482660062
"[[0, 1, 2]]",-179.74894245670203,1.5065116451229785e-15,1.180371695333067e-15,-3.2613994978991157e-16,0.0,0.875,1.0,-7.804267940579419e-05,3D,"[8.29244688230816e-08, 9.155861059842057e-08, 8.975989764323096e-08]",True,0.088,0.016,2023.9481384593826,42.86554494318288,17.93242272596894,82.5737529902308,5.729577951308233,0.30789505996075645,0.9434398645667833,0.12297094778024456
"[[0, 1], [2]]",179.80882449702057,2.449480541097284e-15,2.870869634965407e-15,4.2138909386812314e-16,0.0,0.9,1.0,3.5861901852066274e-05,1⊕2,"[7.489072128660679e-08, 8.976692417547515e-08, 9.20841450511087e-08]",False,0.088,0.016,554.7729891530262,11.803958873681154,6.485273475974809,52.845481960649536,3.394452729020503,0.11294783590221377,0.791909474853263,0.6001017996995478
"[[0], [1], [2]]",179.94946206869423,4.052987398228859e-15,4.5397245631811434e-15,4.867371649522844e-16,0.0,0.925,1.0,2.9880270934564283e-06,split,"[6.528472223744748e-08, 9.118707340324903e-08, 9.381801277367696e-08]",False,0.088,0.016,900.5580472622212,5.51399856533368,4.084251219972505,44.24036259828102,2.2816296877154443,0.07122327701762528,0.6958981605322109,0.714599884535924
"[[0], [1], [2]]",-179.72669365857215,5.384344775293038e-15,5.9755295072185e-15,5.911847319254614e-16,0.0,0.95,1.0,-6.544328414410997e-06,split,"[5.647190981549879e-08, 9.259277171303852e-08, 9.57319492407228e-08]",False,0.088,0.016,1203.285314069484,3.1643528187973047,3.054432648721701,34.77400126550317,2.0226602209308204,0.05328465944132307,0.5695306542457845,0.8202411712067316
"[[0], [1], [2]]",179.09829859012814,7.184979590590209e-15,6.442331388634534e-15,-7.426482019556744e-16,0.0,0.975,1.0,9.440326288256032e-06,split,"[4.8615335375130696e-08, 9.771607045019075e-08, 9.383912948376582e-08]",False,0.088,0.016,1510.592861394508,2.2947917400680384,2.0734575621022655,61.955363261773186,1.9667940217820012,0.0361807629819146,0.8820037195246964,0.4698514564568758
"[[0], [1], [2]]",178.16056577916348,8.201747038105985e-15,7.278369995826877e-15,-9.233770422791077e-16,0.0,1.0,1.0,9.592737671460182e-06,split,"[4.168036558841412e-08, 9.969453301806394e-08, 9.495063386523932e-08]",False,0.088,0.016,1757.0916858095727,1.7559643118524069,1.5219048695052029,66.33424728268633,1.9245961062336145,0.026559127471797447,0.915579595104323,0.40125879152554517
"[[0], [1], [2]]",176.85681814788222,9.060652683757922e-15,7.939797296060832e-15,-1.1208553876970909e-15,0.0,1.025,1.0,9.345162461462517e-06,split,"[3.559746739308397e-08, 1.016259433833684e-07, 9.595299360031717e-08]",False,0.088,0.016,1945.9592140249752,1.3956606094136044,1.2176868033258863,69.38627042814056,1.8586182287978554,0.021251044131363583,0.9357638280913,0.35198643604440594
"[[0], [1], [2]]",175.27556829038713,9.793187663705067e-15,8.465033931343561e-15,-1.3281537323615058e-15,0.0,1.05,1.0,8.939681999614433e-06,split,"[3.028962508868212e-08, 1.0349226566134296e-07, 9.686328158469794e-08]",False,0.088,0.016,2090.3678175033324,1.1495054932825102,1.0349924955144927,71.58754201346912,1.7805249711212328,0.01806304438691188,0.948652558724228,0.31580381450110995
"[[0], [1], [2]]",173.5044375822458,1.0425643539623361e-14,8.884254207254199e-15,-1.541389332369162e-15,0.0,1.075,1.0,8.474720623227198e-06,split,"[2.567995906965605e-08, 1.0528581973581519e-07, 9.76919367454316e-08]",False,0.088,0.016,2210.8595749211718,0.978292188769634,0.9178169773637909,73.3830375676159,1.7022726302607096,0.016018243102148527,0.9581150121405737,0.2859353762632198
"[[0], [1], [2]]",171.42290377371327,1.097901657851982e-14,9.220755341771593e-15,-1.7582612367482279e-15,0.0,1.1,1.0,8.27421787744968e-06,split,"[2.1694605667883626e-08, 1.0700314244733558e-07, 9.844496562474163e-08]",False,0.088,0.016,2295.4053719139774,0.8513318944136283,0.834279691380025,74.56604648910783,1.629248546676807,0.014560412966437522,0.963835680715177,0.26609918255146575
"[[0], [1], [2]]",-169.31261227471532,9.492816768319854e-15,1.1470034297717283e-14,1.9772175293974292e-15,0.0,1.125,1.0,-7.976805596896286e-06,split,"[1.8263924843777326e-08, 9.912813787728992e-08, 1.0864439814558517e-07]",False,0.088,0.016,2368.53591236816,0.7741439185753067,0.7563771028546311,14.422967665147997,1.5629769762471142,0.01320088739612476,0.24905643120410068,0.9683990038449193
"[[0], [1], [2]]",-135.2841481170937,9.936627441568386e-15,1.2139232140086983e-14,2.202604698518597e-15,0.0,1.15,1.0,-4.7514187425113033e-05,split,"[4.3842934375999064e-10, 9.968359775739365e-08, 1.1017905590617689e-07]",False,0.088,0.016,2389.657203769591,1.4844772741960992,0.6585866258200893,13.493487425126457,1.5074001573617344,0.011494251915847208,0.23331942271594866,0.9723322113127755
"[[0], [1], [2]]",-167.36274467767572,-1.4237558398274157e-13,-1.3949959150980447e-13,2.875992472937085e-15,0.005,0.55,1.0,-2.0633827366434608e-05,split,"[3.797006547179498e-07, 4.239107465608987e-08, 6.835931307024135e-08]",False,0.088,0.016,2815.5839249811693,5.46295360382914,0.7914208440879862,85.85660182925771,-5.729577951308233,0.013812460260999597,0.997291194472932,0.07224603358171776
"[[0], [1], [2]]",-166.201727618124,-1.183667188037887e-13,-1.156031249798208e-13,2.7635938239679074e-15,0.005,0.575,1.0,-2.011463026044913e-05,split,"[3.471468040485353e-07, 4.63053426434081e-08, 7.005553926201222e-08]",False,0.088,0.016,2843.6466700848823,5.371202654018056,0.765544503732115,86.1067030043124,-5.729577951308233,0.013360874613832813,0.9976031746064477,0.0678925109617502
"[[0], [1], [2]]",-166.48268801665637,-9.742912980348766e-14,-9.479728960318042e-14,2.63184020030724e-15,0.005,0.6,1.0,-1.718351403983987e-05,split,"[3.1614645014657516e-07, 5.01941046019677e-08, 7.177247618063986e-08]",False,0.088,0.016,2877.168042719473,5.259736521505152,0.7374988667257504,86.40507299421085,-5.729577951308233,0.012871428018161818,0.9979496067625057,0.06269695928299744
"[[0], [1], [2]]",-165.55512112408096,-7.933327334322064e-14,-7.685059970605726e-14,2.4826736371633823e-15,0.005,0.625,1.0,-1.5016188254924117e-05,split,"[2.867956615881181e-07, 5.402294107641412e-08, 7.349252887000892e-08]",False,0.088,0.016,2921.7675155756715,5.12486425853304,0.696284312805305,86.80277364473851,-5.729577951308233,0.012152154673931116,0.9983697400652946,0.05576905287645827
"[[0], [1], [2]]",-164.93086725778235,-6.382743395327197e-14,-6.150846117588232e-14,2.3189727773896523e-15,0.005,0.65,1.0,-1.2207230557521309e-05,split,"[2.591629717806893e-07, 5.777553105706928e-08, 7.521292951558282e-08]",False,0.088,0.016,2972.7130426691165,4.957882709512854,0.6508834856407902,87.24486106676336,-5.729577951308233,0.011359815535093083,0.9987796290456837,0.0480646147844251
"[[0], [1], [2]]",51.26166374451881,-5.065057085150148e-14,-4.850711600977408e-14,2.1434548417273976e-15,0.005,0.675,1.0,1.2687800469756796e-05,split,"[2.3329109527488874e-07, 6.143422729273748e-08, 7.692606271468161e-08]",False,0.088,0.016,2963.0699371546457,6.704470895428599,0.2048820799072113,87.74986121179867,5.729577951308233,0.003575859252056501,0.9992225526628634,0.03926198518314137
"[[0], [1], [2]]",36.14775920333909,-3.9541678118405525e-14,-3.758280015141302e-14,1.958877966992503e-15,0.005,0.7,1.0,8.57484866612081e-06,split,"[2.0919904969074776e-07, 6.498126093810762e-08, 7.862214853397822e-08]",False,0.088,0.016,2997.5496999364314,6.979570790265788,0.2418447042517671,88.36309560701115,5.729577951308233,0.004220973833690229,0.9995830185576902,0.028565230455783797
"[[0], [1], [2]]",32.23244591409935,-3.024704100422221e-14,-2.847893354473244e-14,1.7681074594897734e-15,0.005,0.725,1.0,5.1448853219979455e-06,split,"[1.8688482599448362e-07, 6.840246474189516e-08, 8.029324157272506e-08]",False,0.088,0.016,3046.5922220949446,7.3448733423165455,0.32920654581890624,89.24123021319218,5.729577951308233,0.005745706529215443,0.9998958070853674,0.013242425366290524
"[[0], [1], [2]]",-179.3326415769449,-2.2525946122914182e-14,-2.095149051628158e-14,1.5744556066326028e-15,0.005,0.75,1.0,-9.427993466984743e-08,split,"[1.6632857500391004e-07, 7.168855375802432e-08, 8.193719757564171e-08]",False,0.088,0.016,3037.094593154105,7.8481609453011,0.46642673138100255,89.57878452112516,5.729577951308233,0.008140592267418477,0.9999398428579316,0.007351287151982498
"[[0], [1], [2]]",-173.98414903031056,-1.6157003772314605e-14,-1.477514332663699e-14,1.3818604456776156e-15,0.005,0.775,1.0,-6.31499181395224e-06,split,"[1.4749733162969702e-07, 7.482285122585356e-08, 8.354830645347535e-08]",False,0.088,0.016,2845.086913570015,8.589638054564066,0.6914891016930422,88.06118421426238,5.729577951308233,0.0120684685890793,0.9993547402485841,0.03382979764349202
"[[0, 1], [2]]",-176.2778100059734,-1.0942314820279923e-14,-9.745932542376421e-15,1.1963822779035015e-15,0.005,0.8,1.0,-1.3590737493912297e-05,1⊕2,"[1.303537370965905e-07, 7.778034427004751e-08, 8.512440444825805e-08]",False,0.088,0.016,2590.3198898649525,9.788008726090164,1.0653112397491864,86.13592772337411,5.729577951308233,0.01859211741243221,0.9975542767337763,0.06737802416422242
"[[0, 1], [2]]",-178.25419901840672,-6.717263952893286e-15,-5.687030375082265e-15,1.030233577811021e-15,0.005,0.825,1.0,-2.199891796388937e-05,1⊕2,"[1.1488185691101753e-07, 8.050203161678729e-08, 8.66649333481613e-08]",False,0.088,0.016,2219.1491616825706,12.049545814229205,1.823751144251754,83.57203619740208,5.729577951308233,0.03182508748743297,0.9932100352934342,0.11189722784248333
"[[0, 1, 2]]",-179.41728262135783,-3.3953792680442557e-15,-2.473580865676083e-15,9.217984023681727e-16,0.005,0.85,1.0,-3.0489228186334034e-05,3D,"[1.0122440595529895e-07, 8.277077438902517e-08, 8.816348164249797e-08]",True,0.088,0.016,1674.7460230125819,17.817266987059067,3.83427977132736,80.99516521801372,5.729577951308233,0.06687086800902622,0.9854643625660684,0.15616746499822656
"[[0, 1, 2]]",-179.67530993056312,1.5086793517573944e-15,1.1246087513992359e-15,-3.8407060035815847e-16,0.005,0.875,1.0,-5.740920168840562e-05,3D,"[8.276820060256295e-08, 9.142895811909647e-08, 8.93038844753426e-08]",True,0.088,0.016,2126.9692625756784,44.3319192501223,16.410276862819423,85.51493374104331,5.729577951308233,0.2825135197404675,0.9563258125085073,0.07501367537853332
"[[0, 1], [2]]",179.82000174787638,2.390063175607484e-15,2.8043252956922574e-15,4.142621200847735e-16,0.005,0.9,1.0,3.819085512230268e-05,1⊕2,"[7.486718691520641e-08, 8.941565216562443e-08, 9.170289511399687e-08]",False,0.088,0.016,503.24670558341836,11.542209287657176,7.311480544697949,48.939796497115914,3.5603224949947077,0.12726335521680804,0.7478888466403373,0.6515107915375974
"[[0], [1], [2]]",179.9282259054515,3.977597868393834e-15,4.475808042284647e-15,4.982101738908133e-16,0.005,0.925,1.0,4.342322446931172e-06,split,"[6.527923917684211e-08, 9.076881036953824e-08, 9.347292179980256e-08]",False,0.088,0.016,913.2632447096245,5.298089667557794,4.397036072721193,40.809958743286515,2.395452384642876,0.07666745019636727,0.6516285822972233,0.7546537569069001
"[[0], [1], [2]]",179.75265035249504,5.917134161609184e-15,5.29676524222504e-15,-6.203689193841438e-16,0.005,0.95,1.0,5.630780653796846e-06,split,"[5.647103530136793e-08, 9.54259502945479e-08, 9.211809306663584e-08]",False,0.088,0.016,1261.9493110940346,3.1421940579045105,3.031055448909934,57.66237063846384,2.134090214476813,0.05287722554348642,0.8437286993120257,0.5341590409007986
"[[0], [1], [2]]",179.1409540154305,7.129910125730312e-15,6.346409599940345e-15,-7.835005257899662e-16,0.005,0.975,1.0,8.421225539502194e-06,split,"[4.861624819625797e-08, 9.743433539779736e-08, 9.332710854098342e-08]",False,0.088,0.016,1568.0176921604445,2.307040307610411,2.003630122446428,63.44377879825346,2.0585777577920887,0.03496281562562151,0.8939492189093998,0.44680241218552347
"[[0], [1], [2]]",178.21322911527278,8.148152585303065e-15,7.176604541915633e-15,-9.71548043387432e-16,0.005,1.0,1.0,8.76661448118849e-06,split,"[4.168209129299155e-08, 9.942609979205836e-08, 9.44139887753553e-08]",False,0.088,0.016,1808.6747854106438,1.7583005469988755,1.4838393636669698,67.44190695827825,1.9896962610545954,0.025894987610773416,0.9231813737172876,0.3834913308512991
"[[0], [1], [2]]",176.93870185281466,9.007558797924698e-15,7.83366599772346e-15,-1.1738928002012362e-15,0.005,1.025,1.0,8.70985968904838e-06,split,"[3.559956069785772e-08, 1.0136511983816303e-07, 9.539913374661175e-08]",False,0.088,0.016,1983.7013275154418,1.3965986020448145,1.1997825168562433,70.1178086960197,1.9039727952016625,0.02093862491876095,0.9401877093203279,0.34001271333511346
