beta,blocks,label,rel_cut,seesaw_M,tol_rel_blocks,x,y
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.6,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.62,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.64,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.66,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.68,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.7,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.72,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.74,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.76,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.78,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.8,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.82,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.84,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.86,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.88,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.9,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.92,0.5
0.5,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.94,0.5
0.5,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.96,0.5
0.5,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.98,0.5
0.5,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,1.0,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.02,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.04,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.06,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.08,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.1,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.12,0.5
0.5,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.14,0.5
0.5,"[[0, 1], [2]]",1⊕2,0.15,1000000.0,0.03,1.16,0.5
0.5,"[[0, 1], [2]]",1⊕2,0.15,1000000.0,0.03,1.18,0.5
0.5,"[[0, 1], [2]]",1⊕2,0.15,1000000.0,0.03,1.2,0.5
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.6,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.62,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.64,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.66,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.68,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.7,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.72,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.74,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.76,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.78,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.8,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.82,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.84,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.86,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.88,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,0.9,0.6
0.6,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.92,0.6
0.6,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.94,0.6
0.6,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.96,0.6
0.6,"[[0], [1, 2]]",1⊕2,0.15,1000000.0,0.03,0.98,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.0,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.02,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.04,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.06,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.08,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.1,0.6
0.6,"[[0], [1], [2]]",split,0.15,1000000.0,0.03,1.12,0.6
